event_id,match_id,end_number,shot_number,team_code,player_id,player_name,shot_type,turn,accuracy,house_orientation,team1_stones_in_play,team2_stones_in_play,team1_stone1_x,team1_stone1_y,team1_stone1_dist,team1_stone1_angle,team1_stone2_x,team1_stone2_y,team1_stone2_dist,team1_stone2_angle,team1_stone3_x,team1_stone3_y,team1_stone3_dist,team1_stone3_angle,team1_stone4_x,team1_stone4_y,team1_stone4_dist,team1_stone4_angle,team1_stone5_x,team1_stone5_y,team1_stone5_dist,team1_stone5_angle,team1_stone6_x,team1_stone6_y,team1_stone6_dist,team1_stone6_angle,team1_stone7_x,team1_stone7_y,team1_stone7_dist,team1_stone7_angle,team1_stone8_x,team1_stone8_y,team1_stone8_dist,team1_stone8_angle,team2_stone1_x,team2_stone1_y,team2_stone1_dist,team2_stone1_angle,team2_stone2_x,team2_stone2_y,team2_stone2_dist,team2_stone2_angle,team2_stone3_x,team2_stone3_y,team2_stone3_dist,team2_stone3_angle,team2_stone4_x,team2_stone4_y,team2_stone4_dist,team2_stone4_angle,team2_stone5_x,team2_stone5_y,team2_stone5_dist,team2_stone5_angle,team2_stone6_x,team2_stone6_y,team2_stone6_dist,team2_stone6_angle,team2_stone7_x,team2_stone7_y,team2_stone7_dist,team2_stone7_angle,team2_stone8_x,team2_stone8_y,team2_stone8_dist,team2_stone8_angle
1,1,4,4,CAN,2,JOSEPH C,Take-out,Clockwise,100,top,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.588,-0.168,0.612,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,5,CHN,3,CHEN J,Take-out,Clockwise,50,top,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,6,CAN,4,FORREST I,Front,Counter-clockwise,75,top,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.734,3.309,3.389,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,7,CHN,3,CHEN J,Draw,Counter-clockwise,0,top,1,1,-0.688,1.132,1.325,121.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.731,3.304,3.384,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,8,CAN,4,FORREST I,Draw,Counter-clockwise,0,top,1,2,-0.684,1.134,1.324,121.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.449,1.772,1.828,104.2,-0.734,3.308,3.389,102.5,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,9,CHN,5,ZHANG M,Draw,Counter-clockwise,75,top,2,2,-0.498,-0.627,0.801,-128.4,-0.69,1.127,1.322,121.5,,,,,,,,,,,,,,,,,,,,,,,,,-0.452,1.764,1.821,104.4,-0.733,3.297,3.378,102.5,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,10,CAN,6,THURSTON J,Draw,Counter-clockwise,50,top,2,3,-0.508,-0.645,0.821,-128.2,-0.691,1.121,1.316,121.6,,,,,,,,,,,,,,,,,,,,,,,,,-0.344,-1.114,1.166,-107.1,-0.455,1.759,1.817,104.5,-0.741,3.296,3.378,102.7,,,,,,,,,,,,,,,,,,,,
1,1,4,11,CHN,5,ZHANG M,Draw,Counter-clockwise,100,top,3,3,-0.47,0.264,0.539,150.6,-0.524,-0.65,0.835,-128.9,-0.694,1.12,1.317,121.8,,,,,,,,,,,,,,,,,,,,,-0.341,-1.113,1.164,-107.0,-0.456,1.757,1.815,104.5,-0.737,3.292,3.373,102.6,,,,,,,,,,,,,,,,,,,,
1,1,4,12,CAN,6,THURSTON J,Promotion Take-out,Clockwise,100,top,2,4,0.154,-0.815,0.829,-79.3,-0.686,1.118,1.312,121.5,,,,,,,,,,,,,,,,,,,,,,,,,-0.521,0.421,0.669,141.0,-0.339,-1.116,1.167,-106.9,-0.488,1.917,1.978,104.3,-0.736,3.293,3.374,102.6,,,,,,,,,,,,,,,,
1,1,4,13,CHN,7,WANG H,Draw,Counter-clockwise,75,top,3,4,-0.345,0.631,0.72,118.7,0.159,-0.81,0.825,-78.9,-0.689,1.124,1.318,121.5,,,,,,,,,,,,,,,,,,,,,-0.523,0.421,0.672,141.2,-0.336,-1.113,1.163,-106.8,-0.484,1.923,1.983,104.1,-0.732,3.291,3.371,102.5,,,,,,,,,,,,,,,,
1,1,4,14,CAN,8,IDESON M,Take-out,Clockwise,100,top,2,5,-0.351,0.637,0.728,118.9,-0.687,1.131,1.323,121.3,,,,,,,,,,,,,,,,,,,,,,,,,-0.521,0.426,0.673,140.7,0.021,-0.69,0.69,-88.3,-0.34,-1.112,1.163,-107.0,-0.489,1.932,1.993,104.2,-0.737,3.304,3.385,102.6,,,,,,,,,,,,
1,1,4,15,CHN,7,WANG H,Hit and Roll,Counter-clockwise,50,top,2,4,-0.347,0.638,0.726,118.5,-0.691,1.131,1.325,121.4,,,,,,,,,,,,,,,,,,,,,,,,,-0.525,0.427,0.677,140.9,-0.338,-1.109,1.159,-106.9,-0.486,1.931,1.992,104.1,-0.734,3.301,3.382,102.5,,,,,,,,,,,,,,,,
1,1,4,16,CAN,8,IDESON M,Draw,Counter-clockwise,0,top,2,5,-0.352,0.639,0.729,118.8,-0.687,1.133,1.325,121.2,,,,,,,,,,,,,,,,,,,,,,,,,-0.522,0.428,0.675,140.6,-0.34,-1.111,1.162,-107.0,-0.003,1.535,1.535,90.1,-0.489,1.934,1.995,104.2,-0.738,3.306,3.388,102.6,,,,,,,,,,,,
1,1,5,1,CAN,2,JOSEPH C,Front,Clockwise,0,bottom,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,1.264,1.264,89.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
