event_id,event_name,year,location,gender,pdf_file,has_time_data
184,World Junior Curling Championships 2018,2018,"Aberdeen, Scotland",m,WJCC2018_ResultsBook_Men.pdf,True
185,World Junior Curling Championships 2018,2018,"Aberdeen, Scotland",w,WJCC2018_ResultsBook_Women.pdf,True
186,Olympic Winter Games 2018,2018,"PyeongChang, Republic of Korea",,OWG2018_ResultsBook.pdf,True
187,World Junior-B Curling Championships 2018,2018,"Lohja, Finland",m,WJBCC2018_ResultsBook_Men.pdf,False
188,World Junior-B Curling Championships 2018,2018,"Lohja, Finland",w,WJBCC2018_ResultsBook_Women.pdf,False
189,Olympic Qualification Event 2017,2017,"Pilsen, Czech Republic",m,OQE2017_ResultsBook_Men.pdf,True
190,Olympic Qualification Event 2017,2017,"Pilsen, Czech Republic",w,OQE2017_ResultsBook_Women.pdf,True
191,European Curling Championships 2017 A-Division,2017,"St. Gallen, Switzerland",m,ECC2017_ResultsBook_Men_A-Division.pdf,True
192,European Curling Championships 2017 A-Division,2017,"St. Gallen, Switzerland",w,ECC2017_ResultsBook_Women_A-Division.pdf,True
193,European Curling Championships 2017 B-Division,2017,"St. Gallen, Switzerland",m,ECC2017_ResultsBook_Men_B-Division.pdf,True
194,European Curling Championships 2017 B-Division,2017,"St. Gallen, Switzerland",w,ECC2017_ResultsBook_Women_B-Division.pdf,True
195,Pacific-Asia Curling Championships 2017,2017,"Erina, NSW, Australia",m,PACC2017_ResultsBook_Men.pdf,True
196,Pacific-Asia Curling Championships 2017,2017,"Erina, NSW, Australia",w,PACC2017_ResultsBook_Women.pdf,True
197,World Mixed Curling Championship 2017,2017,"Champery, Switzerland",mx,WMxCC2017_ResultsBook.pdf,False
198,World Mixed Doubles Curling Championship 2017,2017,"Lethbridge, AB, Canada",mxd,WMDCC2017_ResultsBook.pdf,False
199,World Senior Curling Championships 2017,2017,"Lethbridge, AB, Canada",m,WSCC2017_ResultsBook_Men.pdf,False
200,World Senior Curling Championships 2017,2017,"Lethbridge, AB, Canada",w,WSCC2017_ResultsBook_Women.pdf,False
201,European Curling Championships 2017 C-Division,2017,"Canillo, Andorra",m,ECCC2017_ResultsBook_Men.pdf,False
202,European Curling Championships 2017 C-Division,2017,"Canillo, Andorra",w,ECCC2017_ResultsBook_Women.pdf,False
203,World Men's Curling Championship 2017,2017,"Edmonton, AB, Canada",m,WMCC2017_ResultsBook.pdf,False
204,World Women's Curling Championship 2017,2017,"Beijing, China",w,WWCC2017_ResultsBook.pdf,False
205,World Wheelchair Curling Championship 2017,2017,"Gangneung, Republic of Korea",,WWhCC2017_ResultsBook.pdf,False
206,World Junior Curling Championships 2017,2017,"Gangneung, Republic of Korea",m,WJCC2017_ResultsBook_Men.pdf,False
207,World Junior Curling Championships 2017,2017,"Gangneung, Republic of Korea",w,WJCC2017_ResultsBook_Women.pdf,False
208,Winter Universiade 2017,2017,"Almaty, Kazakhstan",,WUNI2017_ResultsBook.pdf,False
209,World Junior-B Curling Championships 2017,2017,"Östersund, Sweden",m,WJBCC2017_ResultsBook_Men.pdf,False
210,World Junior-B Curling Championships 2017,2017,"Östersund, Sweden",w,WJBCC2017_ResultsBook_Women.pdf,False
211,European Curling Championships 2016 A-Division,2016,"Braehead, Scotland",m,ECC2016_ResultsBook_Men_A-Division.pdf,False
212,European Curling Championships 2016 A-Division,2016,"Braehead, Scotland",w,ECC2016_ResultsBook_Women_A-Division.pdf,False
213,European Curling Championships 2016 B-Division,2016,"Braehead, Scotland",m,ECC2016_ResultsBook_Men_B-Division.pdf,False
214,European Curling Championships 2016 B-Division,2016,"Braehead, Scotland",w,ECC2016_ResultsBook_Women_B-Division.pdf,False
215,Pacific-Asia Curling Championships 2016,2016,"Uiseong, Republic of Korea",m,PACC2016_ResultsBook_Men.pdf,False
216,Pacific-Asia Curling Championships 2016,2016,"Uiseong, Republic of Korea",w,PACC2016_ResultsBook_Women.pdf,False
217,World Wheelchair-B Curling Championship 2016,2016,"Lohja, Finland",,WWhBCC2016_ResultsBook.pdf,False
218,World Mixed Curling Championship 2016,2016,"Kazan, Russia",mx,WMxCC2016_ResultsBook.pdf,False
219,World Mixed Doubles Curling Championship 2016,2016,"Karlstad, Sweden",mxd,WMDCC2016_ResultsBook.pdf,False
220,World Senior Curling Championships 2016,2016,"Karlstad, Sweden",m,WSCC2016_ResultsBook_Men.pdf,False
221,World Senior Curling Championships 2016,2016,"Karlstad, Sweden",w,WSCC2016_ResultsBook_Women.pdf,False
222,World Men's Curling Championship 2016,2016,"Basel, Switzerland",m,WMCC2016_ResultsBook.pdf,False
223,World Junior Curling Championships 2016,2016,"Taarnby (Copenhagen), Denmark",m,WJCC2016_ResultsBook_Men.pdf,False
224,World Junior Curling Championships 2016,2016,"Taarnby (Copenhagen), Denmark",w,WJCC2016_ResultsBook_Women.pdf,False
225,World Wheelchair Curling Championship 2016,2016,"Lucerne, Switzerland",,WWhCC2016_ResultsBook.pdf,False
226,Winter Youth Olympic Games 2016,2016,"Lillehammer, Norway",,YOG2016_Resultsbook.pdf,False
227,European Curling Championships 2015 A-Division,2015,"Esbjerg, Denmark",m,ECC2015_ResultsBook_Men_A-Division.pdf,False
228,European Curling Championships 2015 A-Division,2015,"Esbjerg, Denmark",w,ECC2015_ResultsBook_Women_A-Division.pdf,False
229,European Curling Championships 2015 B-Division,2015,"Esbjerg, Denmark",m,ECC2015_ResultsBook_Men_B-Division.pdf,False
230,European Curling Championships 2015 B-Division,2015,"Esbjerg, Denmark",w,ECC2015_ResultsBook_Women_B-Division.pdf,False
231,Pacific-Asia Curling Championships 2015,2015,"Almaty, Kazakhstan",m,PACC2015_ResultsBook_Men.pdf,False
232,Pacific-Asia Curling Championships 2015,2015,"Almaty, Kazakhstan",w,PACC2015_ResultsBook_Women.pdf,False
233,European Curling Championships 2015 C-Division,2015,"Champery, Switzerland",m,ECCC2015_ResultsBook_Men.pdf,False
234,European Curling Championships 2015 C-Division,2015,"Champery, Switzerland",w,ECCC2015_ResultsBook_Women.pdf,False
